source,target,tgt_lng
Dragonborn,Драконорожденная,ru
Dragonguards,Стражи драконов,ru
Draven,Дрейвен,ru
Dreadway Cannon,Пушка ''Кошмара'',ru
Dummify,Манекенофикация,ru
Duo Queue,Игра в паре,ru
D个痛快！,Вечное обновление,ru
E.M.P.,ЭМИ,ru
Earth Axiom,Аксиома земли,ru
Echo Engine,Эхо-движок,ru
Edge of Night,Грань ночи,ru
Ekko,Экко,ru
Elder Dragon,Старший дракон,ru
Electrical Overload,Электрическая перегрузка,ru
Emperor,Император,ru
Epic Rolldown,Эпические обновления,ru
Eternal,Вечные,ru
Eternal Pact,Вечный договор,ru
Evenshroud,Вечерний покров,ru
Exclusive Customization,Эксклюзивная кастомизация,ru
Exiles,Изгнание,ru
Expected Unexpectedness,Ожидаемая неожиданность,ru
Explosive Growth,Взрывной рост,ru
Eye For An Eye,Око за око,ru
Feed the Flames,Распаленное пламя,ru
Fiddlesticks,Фиддлстикс,ru
Find Your Center,Центр внимания,ru
Fire Axiom,Аксиома огня,ru
First Mate's Flintlock,Пистоль первого помощника,ru
First One's Free!,Первая покупка бесплатно!,ru
Fishbones,Скелетница,ru
Fizz,Физз,ru
Flickerblades,Летающие ножи,ru
Focused Fire,Прицельная стрельба,ru
Forbidden Idol,Запретный идол,ru
Freljord,Фрельйорд,ru
Freljord Emblem,Эмблема Фрельйорда,ru
Frying Pan,Сковородка,ru
Galio,Галио,ru
Gangplank,Гангпланк,ru
Garen,Гарен,ru
Gargoyle Stoneplate,Каменный доспех гаргульи,ru
Giant Slayer,Убийца великанов,ru
Giant and Mighty,Могучие исполины,ru
Giant's Belt,Пояс великана,ru
Gigantification Ray,Луч увеличения,ru
Gilded Steel,Позолоченная сталь,ru
Glass Cannon,Стеклянная пушка,ru
Glutton,Гурман,ru
Going Long,Игра вдолгую,ru
Gold Destiny,Золотая судьба,ru
Golem,Голем,ru
Golemify,Големификация,ru
Good For Something,Хоть какая-то польза,ru
Graves,Грейвз,ru
Growth Mindset,Стратегия роста,ru
Guinsoo's Rageblade,Клинок ярости Гинсу,ru
Gunslinger,Стрелок,ru
Gunslinger Emblem,Эмблема стрелка,ru
Gwen,Гвен,ru
Hand Of Justice,Рука правосудия,ru
Hard Commit,Целеустремленность,ru
Harvester,Жнец,ru
Haunted Spyglass,Призрачная подзорная труба,ru
Healing Orbs,Сфера лечения,ru
Heart of Steel,Стальное сердце,ru
Heavy Is the Crown,Тяжел венец,ru
Hedge Fund,Страховой фонд,ru
Hefty Rolls,Увесистый куш,ru
Hellfire Hatchet,Топор адского пламени,ru
Heroic,Героический,ru
Heroic Grab Bag,Геройский мешок с сюрпризом,ru
HexMech,Хекс-механизм,ru
Hexgate Travel,Путешествие через хексврата,ru
Hextech Gunblade,Хекстековый штык,ru
High Voltage,Высокое напряжение,ru
Hold the Line,Держать строй!,ru
Horizon Focus,Хекстековый прицел,ru
Huntress,Охотница,ru
Illaoi,Иллаой,ru
Immortal,Бессмертный,ru
Indecision,Нерешительность,ru
Indiscriminate Killer,Убийство без разбора,ru
Infinity Edge,Грань Бесконечности,ru
Innervating Locket,Восстанавливающий медальон,ru
Invested,Инвестиции,ru
Invoker,Колдун,ru
Invoker Emblem,Эмблема колдуна,ru
Ionia,Иония,ru
Ionia Emblem,Эмблема Ионии,ru
Ionic Spark,Ионийская искра,ru
Iron Assets,Железный аргумент,ru
Item Grab Bag,Мешок предметов,ru
Ixtal,Ишталь,ru
Ixtal Emblem,Эмблема Ишталя,ru
Jarvan IV,Джарван IV,ru
Jeweled Gauntlet,Драгоценная перчатка,ru
Jeweled Lotus,Драгоценный лотос,ru
Jhin,Джин,ru
Jinx,Джинкс,ru
Juggernaut,Джаггернаут,ru
Juggernaut Emblem,Эмблема джаггернаута,ru
Just Hit,Свежая поставка,ru
Kahunahuna,Кахунахуна,ru
Kai'Sa,Кай'Са,ru
Kalista,Калиста,ru
Kennen,Кеннен,ru
Kindred,Киндред,ru
Kinetic Barrier,Кинетический барьер,ru
Knight's Vow,Клятва рыцаря,ru
Kobuko & Yuumi,Кобуко и Юми,ru
Kog'Maw,Ког'Мао,ru
Kraken's Fury,Ярость кракена,ru
L-90 カリバーネット,Сети 90 калибра,ru
Last Second Save,В последнюю секунду,ru
Last Whisper,Предсмертный шепот,ru
Late Game Scaling,Мощь на позднем этапе,ru
Late Game Specialist,Специалист по поздним этапам,ru
LeBlanc,Ле Блан,ru
Leap of Faith,Прыжок веры,ru
Legion of Threes,Легион троек,ru
Leona,Леона,ru
Lesser Mirrored Persona,Малое Зеркальное отражение,ru
Level Up!,Новый уровень!,ru
Lich Bane,Гроза Личей,ru
Lifting Competition,Состязание силачей,ru
Lightshield Crest,Герб Лайтшилдов,ru
Lineup,Построение,ru
Lissandra,Лиссандра,ru
Little Buddies,Маленькие друзья,ru
Locket of the Iron Solari,Медальон Железных Солари,ru
Longshot,Дальнострел,ru
Longshot Emblem,Эмблема дальнострела,ru
Loris,Лорис,ru
Lucian & Senna,Люциан и Сенна,ru
Lucky Doubloon,Счастливый дублон,ru
Lucky Gloves,Счастливые перчатки,ru
Luden's Tempest,Буря Людена,ru
Lulu,Лулу,ru
Lux,Люкс,ru
Mace's Will,Воля булавы,ru
Magnetron Coil,Катушка магнетрона,ru
Makeshift Armor,Самодельный доспех,ru
Malzahar,Мальзахар,ru
Mel,Мэл,ru
Mending Echoes,Эхо восстановления,ru
Mess Hall,Столовая,ru
Micro-Rockets,Микро-ракеты,ru
Milio,Милио,ru
Min-Max,Минмаксинг,ru
Mining Drill,Шахтерский бур,ru
Mirrored Persona,Зеркальное отражение,ru
Miss Fortune,Мисс Фортуна,ru
Missed Connections,Номер один,ru
Mittens,Варежки,ru
Momentum Drive,Импульсный ускоритель,ru
Money Monsoon,Золотой ураган,ru
Morellonomicon,Мореллономикон,ru
Nashor's Tooth,Зуб Нашора,ru
Nasus,Насус,ru
Nautilus,Наутилус,ru
Needlessly Large Rod,Слишком Большой Жезл,ru
Neeko,Нико,ru
Negatron Cloak,Поглощающий плащ,ru
Nidalee,Нидали,ru
Noxus,Ноксус,ru
Noxus Emblem,Эмблема Ноксуса,ru
On a Roll,В ударе,ru
"One Buff, Two Buff","Одно усиление, два усиления",ru
One Twos Three,"Раз, два, три",ru
"One, Two, Five!","Раз, два, пять!",ru
Orianna,Орианна,ru
Ornn,Орн,ru
Overclocked Capacitors,Перегруженные конденсаторы,ru
Pandora's Bench,Скамейка Пандоры,ru
Pandora's Items,Предметы Пандоры,ru
Patience is a Virtue,Терпение,ru
Pile O' Citrus,Груда апельсинов,ru
Piltover,Пилтовер,ru
Piltover Emblem,Эмблема Пилтовера,ru
Piltover Invention,Пилтоверское изобретение,ru
Placebo,Плацебо,ru
Plot Armor,Сюжетная защита,ru
Poison Pals,Ядовитые друзья,ru
Poppy,Поппи,ru
Portable Forge,Переносная кузница,ru
Precision and Grace,Точность и изящество,ru
Preparation,Подготовка,ru
Prismatic Destiny,Призматическая судьба,ru
Prismatic Ticket,Призматический билет,ru
Promised Protection,Обещание защиты,ru
Protector's Vow,Клятва защитника,ru
Prowler's Claw,Коготь охотника,ru
Pyromaniac,Пироман,ru
Qiyana,Киана,ru
Quicksilver,Стремительное серебро,ru
Quickstriker,Задира,ru
Quickstriker Emblem,Эмблема задиры,ru
Rabadon's Deathcap,Смертельная шляпа Рабадона,ru
Radiant Rascal,Лучезарный плут,ru
Radiant Relics,Лучезарные реликвии,ru
Raining Gold,Дождь из монет,ru
Rapid Firecannon,Скорострельная пушка,ru
Realm Warp,Искривление пространства,ru
Recombobulator,Рекомбинатор,ru
Recurve Bow,Изогнутый лук,ru
Red Buff,Красное усиление,ru
ReinFOURcement,Четырехкратное усиление,ru
Rek'Sai,Рек'Сай,ru
Renekton,Ренектон,ru
Replication,Репликация,ru
Restart Mission,Перезапуск миссии,ru
Retribution,Возмездие,ru
Rift Herald,Герольд Бездны,ru
Rift Scuttler,Пугливый краб,ru
Riftscourge,Гроза Ущелья,ru
Rolling For Days,Вечное обновление,ru
Rumble,Рамбл,ru
Rune Mage,Рунный маг,ru
Ryze,Райз,ru
Savings Account,Накопительный вклад,ru
Second Wind,Второе дыхание,ru
Seeker's Armguard,Наручи Искательницы,ru
Sejuani,Седжуани,ru
Sentinels of Light,Стражи света,ru
Seraphim's Staff,Посох серафима,ru
Seraphine,Серафина,ru
Sett,Сетт,ru
Shadow Isles,Сумрачные острова,ru
Shadow Puppet,Теневая марионетка,ru
Shen,Шен,ru
Shimmerscale Essence,Златоносная сущность,ru
Shopping Spree,Покупки,ru
Shroud of Stillness,Покров тишины,ru
Shurima,Шуримa,ru
Shyvana,Шивана,ru
Silco's Revenge,Месть Силко,ru
Silver Destiny,Серебряная судьба,ru
Silver Spoon,Серебряная ложка,ru
Silvermere Dawn,Сильвермирская заря,ru
Singed,Синджед,ru
Sion,Сион,ru
Skarner,Скарнер,ru
Slayer,Душегуб,ru
Slayer Emblem,Эмблема душегуба,ru
Slightly Magic Roll,Обновление с капелькой магии,ru
Small Grab Bag,Небольшой мешок с сюрпризом,ru
Solo Plate,Один доспех,ru
Sona,Сона,ru
Soul Awakening,Пробуждение души,ru
Soulbound,Связанная душа,ru
Sparring Gloves,Тренировочные перчатки,ru
Spatula,Лопатка,ru
Spear of Shojin,Копье Седзина,ru
Spear's Will,Воля копья,ru
Spectral Cutlass,Призрачная сабля,ru
Spirit Visage,Облачение духов,ru
Spirit of Redemption,Дух искупления,ru
Spreading Roots,Расползающиеся корни,ru
Staffsmith,Мастер посохов,ru
Stand United,Плечом к плечу,ru
Star Forger,Создатель звезд,ru
Stars Are Born,Рождение звезды,ru
Starter Kit,Стартовый набор,ru
Statikk Shiv,Заточка Статикка,ru
Steadfast Heart,Верное сердце,ru
Sterak's Gage,Испытание Стерака,ru
Striker's Flail,Цеп вышибалы,ru
Sunfire Cape,Накидка солнечного пламени,ru
Superior Lifeform,Величайшая особь,ru
Suspicious Trench Coat,Подозрительный плащ,ru
Swain,Свейн,ru
Sweet Treats,Сладкие угощения,ru
Sword Overflow,Переизбыток мечей,ru
Swordsmith,Мастер мечей,ru
Sylas,Сайлас,ru
Syren's Broadside,Бортовой залп ''Сирены'',ru
T-Hex,Хекстек-рекс,ru
Tactician's Cape,Мантия тактика,ru
Tactician's Crown,Корона тактика,ru
Tactician's Shield,Щит тактика,ru
Tahm Kench,Таам Кенч,ru
Talisman Of Ascension,Талисман вознесения,ru
Targon,Таргон,ru
Taric,Тарик,ru
Teaming Up,Игра в команде,ru
Tear of the Goddess,Слеза богини,ru
Teemo,Тимо,ru
The Axiomata,Аксиомы,ru
The Boss,Босс,ru
The Golden Dragon,Золотой дракон,ru
The Indomitable,Неукротимость,ru
The Ruined King,Падший король,ru
The Trait Tree,Дерево особенностей,ru
The World Runes,Мировые руны,ru
Thief's Gloves,Перчатки вора,ru
Thorn-Plated Armor,Шипованная броня,ru
Thresh,Треш,ru
Timewinders,Временные ключи,ru
"Tiny, but Deadly","Мал, да удал",ru
Titan's Resolve,Решимость титана,ru
Titanic Hydra,Титаническая гидра,ru
Tome of Traits,Книга особенностей,ru
Tons of Stats!,Тонны показателей!,ru
Trade Sector,Торговый сектор,ru
Training Dummy,Тренировочный манекен,ru
Treasure Typhoon,Драгоценный тайфун,ru
Trials of Twilight,Испытание сумраком,ru
Trifecta,Триада,ru
Tristana,Тристана,ru
Tryndamere,Триндамир,ru
Tuned Oscillator,Настроенный генератор,ru
Twin Guardians,Два стража,ru
Twisted Fate,Твистед Фэйт,ru
Two Much Value,Высокая ценность,ru
Two Trick,Дважды два,ru
U.R.F,У.Р.Ф.,ru
U.R.F.,У.Р.Ф.,ru
Unending Despair,Бесконечное отчаяние,ru
Unsealed From Steel,Свобода от оков стали,ru
Unstable Core,Нестабильное ядро,ru
Upgrade!,Улучшение!,ru
Upward Mobility,Карьерный рост,ru
Vanquisher,Завоеватель,ru
Vanquisher Emblem,Эмблема завоевателя,ru
Vayne,Вейн,ru
Veigar,Вейгар,ru
Vi,Вай,ru
Viego,Виего,ru
Virtue of the Martyr,Добродетель мученика,ru
Void,Бездна,ru
Void Emblem,Эмблема Бездны,ru
Void Gauntlet,Перчатка Бездны,ru
Void Staff,Посох Бездны,ru
Volibear,Волибир,ru
Voltage Conduit,Проводник заряда,ru
Wand Overflow,Переизбыток жезлов,ru
Warden,Хранитель,ru
Warden Emblem,Эмблема хранителя,ru
Warlord's Honor,Честь полководца,ru
Warmog's Armor,Доспех Вармога,ru
Warwick,Варвик,ru
Water Axiom,Аксиома воды,ru
We Stick Together,Держимся вместе,ru
Wild Growth,Буйный рост,ru
Win Out,Настоящий триумф,ru
Wit's End,Смерть Разума,ru
Withered Relic,Иссушенная реликвия,ru
Wood Axiom,Аксиома дерева,ru
World Ender,Губитель мира,ru
Woven Magic,Плетение магии,ru
Wukong,Вуконг,ru
Xerath,Зерат,ru
Xin Zhao,Ксин Жао,ru
Yasuo,Ясуо,ru
Yone,Ёнэ,ru
Yordle,Йордл,ru
Yordle Emblem,Эмблема йордлов,ru
Yorick,Йорик,ru
Yunara,Юнара,ru
Zaahen,Заахен,ru
Zaun,Заун,ru
Zaun Emblem,Эмблема Зауна,ru
Zeke's Herald,Вестник Зика,ru
Zephyr,Западный ветер,ru
Ziggs,Зиггс,ru
Zilean,Зилеан,ru
Zoe,Зои,ru
Zz'Rot Portal,Портал Зз'Рота,ru
“塞壬号”的舷炮,Бортовой залп ''Сирены'',ru
いつでも一緒,Держимся вместе,ru
おおきくなぁれ！,Буйный рост,ru
お得な2,Высокая ценность,ru
ここがセンター,Центр внимания,ru
たっぷりリロール,Увесистый куш,ru
ちょっとだけ魔法のダイス,Обновление с капелькой магии,ru
へら,Лопатка,ru
もっと怖いキャップ,Более смертельные шляпы,ru
アイオニア,Иония,ru
アイオニアの紋章,Эмблема Ионии,ru
アイオニック スパーク,Ионийская искра,ru
アイテム福袋,Мешок предметов,ru
アクシオマタ,Аксиомы,ru
アクセルゲート,Врата ускорения,ru
アシミレーター,Ассимиляция,ru
アジール,Азир,ru
アセンション,Вознесение,ru
アダプティブ ヘルム,Адаптивный шлем,ru
アッシュ,Эш,ru
アップグレード！,Улучшение!,ru
アニビア,Анивия,ru
アニー,Энни,ru
アフェリオス,Афелий,ru
アルカニスト,Адепт магии,ru
アルカニストの紋章,Эмблема адепта магии,ru
アンベッサ,Амбесса,ru
アークエンジェル スタッフ,Посох архангела,ru
アーマー ナリファイア,Нейтрализатор брони,ru
アーリ,Ари,ru
イシュタル,Ишталь,ru
イシュタルの紋章,Эмблема Ишталя,ru
イモータル,Бессмертный,ru
イラオイ,Иллаой,ru
インフィニティ エッジ,Грань Бесконечности,ru
インヴォーカー,Колдун,ru
インヴォーカーの紋章,Эмблема колдуна,ru
イーブンシュラウド,Вечерний покров,ru
ウィッツ エンド,Смерть Разума,ru
ウォーロードの名誉,Честь полководца,ru
ウーコン,Вуконг,ru
エイトロックス,Атрокс,ru
エグザイル,Изгнание,ru
エコー,Экко,ru
エコーエンジン,Эхо-движок,ru
エターナル,Вечные,ru
エピックなロールダウン,Эпические обновления,ru
エルダードラゴン,Старший дракон,ru
エレクトリカル オーバーロード,Электрическая перегрузка,ru
エンペラー,Император,ru
オリアナ,Орианна,ru
オレリオン・ソル,Аурелион Сол,ru
オーバークロック コンデンサー,Перегруженные конденсаторы,ru
オーン,Орн,ru
カイ＝サ,Кай'Са,ru
カナとカネ,Железный аргумент,ru
カフナフナ,Кахунахуна,ru
カリスタ,Калиста,ru
ガリオ,Галио,ru
ガレン,Гарен,ru
ガングプランク,Гангпланк,ru
ガンスリンガー,Стрелок,ru
ガンスリンガーの紋章,Эмблема стрелка,ru
ガーゴイル ストーンプレート,Каменный доспех гаргульи,ru
キネティックバリア,Кинетический барьер,ru
キャプテンの帽子,Шляпа капитана,ru
キャプテンの醸造酒,Варево капитана,ru
キヤナ,Киана,ru
キンドレッド,Киндред,ru
ギリギリの救出,В последнюю секунду,ru
クイックシルバー,Стремительное серебро,ru
クラウンの決意,Воля короны,ru
クラウンガード,Королевский венец,ru
クラーケンの怒り,Ярость кракена,ru
クロノキーパー,Хранитель времени,ru
グインソー レイジブレード,Клинок ярости Гинсу,ru
グウェン,Гвен,ru
グラスキャノン,Стеклянная пушка,ru
グラットン,Гурман,ru
グレイブス,Грейвз,ru
ケアテイカー,Опекун,ru
ケイトリン,Кейтлин,ru
ケネン,Кеннен,ru
ケンカの作法,Пламеотражатель,ru
コグ＝マウ,Ког'Мао,ru
コブコ&ユーミ,Кобуко и Юми,ru
コマース コア,Суть коммерции,ru
コンパニオン作成,Создание спутника,ru
ゴールドの運命,Золотая судьба,ru
ゴールドの雨,Дождь из монет,ru
ゴーレム,Голем,ru
ゴーレム化,Големификация,ru
サイオン,Сион,ru
サイラス,Сайлас,ru
サンファイア ケープ,Накидка солнечного пламени,ru
ザ・ボス,Босс,ru
ザーヘン,Заахен,ru
シェン,Шен,ru
シマースケールのエッセンス,Златоносная сущность,ru
シャドウアイル,Сумрачные острова,ru
シュリーマ,Шуримa,ru
ショウジンの矛,Копье Седзина,ru
シルコの復讐,Месть Силко,ru
シルバーの運命,Серебряная судьба,ru
シルバーミアの夜明け,Сильвермирская заря,ru
シンジド,Синджед,ru
シン・ジャオ,Ксин Жао,ru
シヴァーナ,Шивана,ru
シーカー アームガード,Наручи Искательницы,ru
ジグス,Зиггс,ru
ジャイアント スレイヤー,Убийца великанов,ru
ジャイアント ベルト,Пояс великана,ru
ジャイアント&マイティ,Могучие исполины,ru
ジャガーノート,Джаггернаут,ru
ジャガーノートの紋章,Эмблема джаггернаута,ru
ジャストヒット,Свежая поставка,ru
ジャーヴァンⅣ,Джарван IV,ru
ジュエル ガントレット,Драгоценная перчатка,ru
ジュエル ロータス,Драгоценный лотос,ru
ジリアン,Зилеан,ru
ジン,Джин,ru
ジンクス,Джинкс,ru
ジークの使者,Вестник Зика,ru
ジ＝ロット ポータル,Портал Зз'Рота,ru
スウェイン,Свейн,ru
スカーナー,Скарнер,ru
スタティック シヴ,Заточка Статикка,ru
スターターキット,Стартовый набор,ru
スターフォージャー,Создатель звезд,ru
スター誕生,Рождение звезды,ru
ステラックの篭手,Испытание Стерака,ru
ステータスマシマシ,Тонны показателей!,ru
ストライカー フレイル,Цеп вышибалы,ru
スパーリング グローブ,Тренировочные перчатки,ru
スピリット ビサージュ,Облачение духов,ru
スペクトラル カトラス,Призрачная сабля,ru
スレイヤー,Душегуб,ru
スレイヤーの紋章,Эмблема душегуба,ru
スレッシュ,Треш,ru
セイレーン号の片舷砲,Бортовой залп ''Сирены'',ru
セジュアニ,Седжуани,ru
セト,Сетт,ru
セラフィムの杖,Посох серафима,ru
セラフィーン,Серафина,ru
ゼファー,Западный ветер,ru
ゼラス,Зерат,ru
ソウルの目覚め,Пробуждение души,ru
ソウルバウンド,Связанная душа,ru
ソナ,Сона,ru
ソラリのロケット,Медальон Железных Солари,ru
ソード オーバーフロー,Переизбыток мечей,ru
ソーンプレートアーマー,Шипованная броня,ru
ゾウン,Заун,ru
ゾウンの紋章,Эмблема Зауна,ru
ゾーイ,Зои,ru
タイタン ハイドラ,Титаническая гидра,ru
タイムワインダー,Временные ключи,ru
タクティシャンのケープ,Мантия тактика,ru
タクティシャンの王冠,Корона тактика,ru
タクティシャンの盾,Щит тактика,ru
タム・ケンチ,Таам Кенч,ru
タリック,Тарик,ru
ターゴン,Таргон,ru
ダイアナ,Диана,ru
ダブルトラブル,Близнецы,ru
ダミー,Тренировочный манекен,ru
ダミー化,Манекенофикация,ru
ダリウス,Дариус,ru
ダーキン,Даркин,ru
ダークウィルの侵略,Вторжение Дарквилла,ru
ダークチャイルド,Дитя тьмы,ru
チェイン ベスト,Кольчуга,ru
チェインブレイカー,Избавитель,ru
チューンド オシレーター,Настроенный генератор,ru
チョ＝ガス,Чо'Гат,ru
ツイステッド・フェイト,Твистед Фэйт,ru
ツインガーディアン,Два стража,ru
ティーモ,Тимо,ru
ディスラプター,Интервент,ru
ディスラプターの紋章,Эмблема интервента,ru
ディフェンダー,Страж,ru
ディフェンダーの紋章,Эмблема стража,ru
デスブレード,Клинок смерти,ru
デッド マン ダガー,Кинжал мертвеца,ru
デッドリアー ブレード,Смертоносные клинки,ru
デマーシア,Демасия,ru
デマーシアの紋章,Эмблема Демасии,ru
デマーシアよ永遠に,Демасия вечна,ru
デュオキュー,Игра в паре,ru
トライフェクタ,Триада,ru
トリスターナ,Тристана,ru
トリンダメア,Триндамир,ru
トレードセクター,Торговый сектор,ru
ドクター・ムンド,Доктор Мундо,ru
ドラゴン クロウ,Коготь дракона,ru
ドラゴンの守護者,Стражи драконов,ru
ドラゴンボーン,Драконорожденная,ru
ドレイヴン,Дрейвен,ru
ドレッドウェイの砲撃,Пушка ''Кошмара'',ru
ドーンコア,Ядро рассвета,ru
ナイト エッジ,Грань ночи,ru
ナサス,Насус,ru
ナッシャー トゥース,Зуб Нашора,ru
ニダリー,Нидали,ru
ニーコ,Нико,ru
ネガトロン クローク,Поглощающий плащ,ru
ノクサス,Ноксус,ru
ノクサスの紋章,Эмблема Ноксуса,ru
ノーチラス,Наутилус,ru
ハントレス,Охотница,ru
ハンド オブ ジャスティス,Рука правосудия,ru
ハーベスター,Жнец,ru
バイナリー空中投下,Двойная доставка,ru
バフが1つ、バフが2つ,"Одно усиление, два усиления",ru
バロンナッシャー,Барон Нашор,ru
バークナックル,Ракушечный кастет,ru
バースデー リユニオン,Празднование юбилея,ru
バースデープレゼント,Подарок на день рождения,ru
バード,Бард,ru
パンドラのアイテム,Предметы Пандоры,ru
パンドラのベンチ,Скамейка Пандоры,ru
ヒロイック,Героический,ru
ヒーリングオーブ,Сфера лечения,ru
ビッグフレンド,Большой друг,ru
ビルジウォーター,Билджвотер,ru
ビルジウォーターの小型チャンピオン複製器,Малый Дубликатор чемпионов из Билджвотера,ru
ビルジウォーターの紋章,Эмблема Билджвотера,ru
ピルトーヴァー,Пилтовер,ru
ピルトーヴァーの発明品,Пилтоверское изобретение,ru
ピルトーヴァーの紋章,Эмблема Пилтовера,ru
フィズ,Физз,ru
フィッシュボーン,Скелетница,ru
フィドルスティックス,Фиддлстикс,ru
フォビドゥン アイドル,Запретный идол,ru
フライパン,Сковородка,ru
フリッカーブレード,Летающие ножи,ru
フレヨルド,Фрельйорд,ru
フレヨルドの紋章,Эмблема Фрельйорда,ru
ブライアー,Брайер,ru
ブラウム,Браум,ru
ブラックスミス,Кузнец,ru
ブラックマーケットの再入荷,Пополнение черного рынка,ru
ブラックマーケットの爆発物,Взрывчатка с черного рынка,ru
ブラッドサースター,Кровопийца,ru
ブランブル ベスト,Терновый жилет,ru
ブリッツクランク,Блицкранк,ru
ブルーザー,Громила,ru
ブルーザーの紋章,Эмблема громилы,ru
ブルーバフ,Синее усиление,ru
ブロック,Брок,ru
プラシディウムの防衛,Защита Пласидиума,ru
プラシーボ,Плацебо,ru
